index,link_id,link_type,diameter,length,n_exp,C,status,node_out,node_in
1,1,pipe,0.3,5500.0,1.852,140.0,Open,TS1,A
2,2,pipe,0.2,2500.0,1.852,140.0,Open,A,B
3,3,pipe,0.17500000000000002,3500.0,1.852,150.0,Open,A,C
4,4,pipe,0.225,1700.0,1.852,155.0,Open,B,D
5,5,pipe,0.225,4500.0,1.852,155.0,Open,C,D
6,6,pipe,0.225,2500.0,1.852,150.0,Open,C,E
7,7,pipe,0.254,6500.0,1.852,140.0,Open,TS2,D
8,8,pipe,0.17500000000000002,1600.0,1.852,140.0,Open,D,F
9,9,pipe,0.2,3000.0,1.852,135.0,Open,E,F
10,10,pipe,0.3,7500.0,1.852,155.0,Open,NTSN,E
