node_id,demand_1,demand_2,demand_3,demand_4,demand_5,demand_6,demand_7,demand_8,demand_9,demand_10,demand_11,demand_12,demand_13,demand_14,demand_15,demand_16,demand_17,demand_18,demand_19,demand_20,demand_21,demand_22,demand_23,demand_24
node_0001,1.0012596e-05,9.672088e-06,9.616445e-06,9.119656e-06,8.332323e-06,7.5992134e-06,7.252304e-06,6.7626393e-06,6.4749474e-06,6.7205096e-06,6.911822e-06,6.7190767e-06,6.8197146e-06,7.0560222e-06,6.608488e-06,5.8753913e-06,5.5356063e-06,5.5370256e-06,5.631972e-06,5.489914e-06,5.7347524e-06,5.876101e-06,5.5948112e-06,6.286488e-06
node_0002,1.31945135e-05,1.1949203e-05,1.1170021e-05,1.0557926e-05,1.032685e-05,1.0272147e-05,9.788601e-06,9.281547e-06,9.438052e-06,9.825093e-06,9.996835e-06,1.0008106e-05,1.0025467e-05,1.0226704e-05,9.990895e-06,9.44991e-06,8.854613e-06,8.364876e-06,8.326349e-06,8.204394e-06,8.179967e-06,8.453245e-06,8.954519e-06,9.8928385e-06
node_0003,5.995982e-06,5.877264e-06,5.857864e-06,5.684659e-06,5.410155e-06,5.1545567e-06,5.0336066e-06,4.8628854e-06,4.7625817e-06,4.848197e-06,4.914898e-06,4.8476973e-06,4.8827847e-06,4.9651735e-06,4.809141e-06,4.553546e-06,4.435081e-06,4.4355756e-06,4.4686785e-06,4.41915e-06,4.504513e-06,4.553794e-06,4.4557223e-06,4.6968753e-06
node_0004,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
node_0005,1.6475207e-05,1.5777845e-05,1.5663889e-05,1.4646464e-05,1.3034002e-05,1.1532592e-05,1.0822119e-05,9.819286e-06,9.2300925e-06,9.733004e-06,1.01248115e-05,9.730069e-06,9.936177e-06,1.0420135e-05,9.503584e-06,8.002198e-06,7.3063184e-06,7.3092256e-06,7.503676e-06,7.2127405e-06,7.714171e-06,8.0036525e-06,7.427571e-06,8.844127e-06
node_0006,2.3719842e-05,2.2622447e-05,2.2443119e-05,2.0842057e-05,1.8304621e-05,1.594194e-05,1.4823911e-05,1.3245811e-05,1.2318631e-05,1.3110033e-05,1.3726598e-05,1.3105416e-05,1.3429754e-05,1.41913315e-05,1.2749007e-05,1.0386367e-05,9.291299e-06,9.295874e-06,9.60187e-06,9.144042e-06,9.933115e-06,1.0388654e-05,9.482107e-06,1.1711258e-05
node_0007,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
node_0008,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
node_0009,1.3006995e-05,1.2501143e-05,1.241848e-05,1.1680459e-05,1.0510809e-05,9.421713e-06,8.90635e-06,8.178912e-06,7.751522e-06,8.116325e-06,8.400536e-06,8.114197e-06,8.263702e-06,8.6147575e-06,7.949907e-06,6.8608306e-06,6.356051e-06,6.3581606e-06,6.4992105e-06,6.288172e-06,6.6519005e-06,6.861885e-06,6.4440055e-06,7.47155e-06
node_0010,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
node_0011,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
node_0012,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
node_0013,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
node_0014,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
node_0015,5.936403e-06,5.8209753e-06,5.802113e-06,5.6337076e-06,5.366811e-06,5.118295e-06,5.0006965e-06,4.8347065e-06,4.7371823e-06,4.8204247e-06,4.8852776e-06,4.819939e-06,4.8540546e-06,4.93416e-06,4.7824506e-06,4.53394e-06,4.4187564e-06,4.419238e-06,4.4514236e-06,4.403267e-06,4.4862654e-06,4.53418e-06,4.4388266e-06,4.6732966e-06
node_0016,1.133364e-05,1.0920187e-05,1.0852625e-05,1.02494105e-05,9.29341e-06,8.403248e-06,7.982022e-06,7.387459e-06,7.0381366e-06,7.3363035e-06,7.5686003e-06,7.3345636e-06,7.456761e-06,7.743693e-06,7.200285e-06,6.3101397e-06,5.897564e-06,5.8992873e-06,6.0145735e-06,5.842083e-06,6.139372e-06,6.311001e-06,5.969452e-06,6.809304e-06
node_0017,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
node_0018,7.3587785e-06,7.1648087e-06,7.133113e-06,6.8501186e-06,6.4016176e-06,5.984004e-06,5.786388e-06,5.507453e-06,5.34357e-06,5.4834536e-06,5.592434e-06,5.482638e-06,5.5399655e-06,5.6745776e-06,5.419641e-06,5.002035e-06,4.808478e-06,4.8092866e-06,4.8633724e-06,4.7824497e-06,4.9219207e-06,5.0024396e-06,4.842204e-06,5.2362147e-06
node_0019,1.9486026e-05,1.8622412e-05,1.8481287e-05,1.7221308e-05,1.5224435e-05,1.3365085e-05,1.2485236e-05,1.12433245e-05,1.0513667e-05,1.1136473e-05,1.1621689e-05,1.1132839e-05,1.1388082e-05,1.1987418e-05,1.0852358e-05,8.993042e-06,8.131262e-06,8.134862e-06,8.375671e-06,8.015375e-06,8.636348e-06,8.994843e-06,8.281421e-06,1.0035686e-05
node_0020,2.316018e-05,2.2093689e-05,2.1919412e-05,2.0363434e-05,1.7897457e-05,1.560131e-05,1.4514765e-05,1.2981104e-05,1.2080036e-05,1.2849152e-05,1.34483535e-05,1.2844664e-05,1.3159869e-05,1.39e-05,1.2498293e-05,1.0202186e-05,9.137956e-06,9.142402e-06,9.439781e-06,8.994845e-06,9.761698e-06,1.0204408e-05,9.323389e-06,1.14897675e-05
node_0021,4.3507744e-06,4.3229015e-06,4.318347e-06,4.2776815e-06,4.2132338e-06,4.153224e-06,4.1248272e-06,4.0847453e-06,4.061196e-06,4.081297e-06,4.096957e-06,4.081179e-06,4.0894174e-06,4.1087605e-06,4.072127e-06,4.0121186e-06,3.984305e-06,3.9844213e-06,3.992193e-06,3.9805645e-06,4.000606e-06,4.0121763e-06,3.9891515e-06,4.0457694e-06
node_0022,1.44420355e-05,1.3856942e-05,1.3761333e-05,1.29077025e-05,1.155483e-05,1.0295132e-05,9.699038e-06,8.857649e-06,8.36331e-06,8.785258e-06,9.113989e-06,8.782796e-06,8.9557225e-06,9.361768e-06,8.59277e-06,7.333095e-06,6.749243e-06,6.7516826e-06,6.9148277e-06,6.6707307e-06,7.0914366e-06,7.334314e-06,6.850975e-06,8.03948e-06
node_0023,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
node_0024,4.5407683e-06,4.502405e-06,4.4961357e-06,4.440164e-06,4.351458e-06,4.268861e-06,4.229776e-06,4.1746075e-06,4.142194e-06,4.169861e-06,4.1914154e-06,4.1696994e-06,4.1810376e-06,4.207662e-06,4.15724e-06,4.0746445e-06,4.036362e-06,4.036522e-06,4.0472196e-06,4.0312143e-06,4.058799e-06,4.074724e-06,4.0430323e-06,4.120961e-06
node_0025,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
node_0026,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
node_0027,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06,3.8460003e-06
