index,link_id,link_type,diameter,length,n_exp,C,status,node_out,node_in
1,link_0001,pipe,0.101599998,8.09,1.852,125.654067,Open,node_0001,node_0844
2,link_0002,pipe,0.101599998,2.41,1.852,107.192561,Open,node_0002,node_0359
3,link_0003,pipe,0.0965,1.33,1.852,127.561943,Open,node_0003,node_0870
4,link_0004,pipe,0.15239999399999998,2.51,1.852,118.387304,Open,node_0004,node_0524
5,link_0005,pipe,0.101599998,24.0,1.852,127.561943,Open,node_0006,node_2362
6,link_0006,pipe,0.203,59.57,1.852,80.847038,Open,node_0007,node_0828
7,link_0007,pipe,0.050799999,5.48,1.852,80.847038,Open,node_0007,node_2370
8,link_0008,pipe,0.08,3.1,1.852,80.847038,Open,node_0009,node_0834
9,link_0009,pipe,0.076599998,24.299999,1.852,106.54725,Open,node_0009,node_2059
10,link_0010,pipe,0.178,1.45,1.852,106.54725,Open,node_0010,node_2060
11,link_0011,pipe,0.101599998,5.85,1.852,80.847038,Open,node_0011,node_1024
12,link_0012,pipe,0.178,39.889999,1.852,80.847038,Open,node_0012,node_1414
13,link_0013,pipe,0.050400002,2.28,1.852,126.972746,Open,node_0013,node_0856
14,link_0014,pipe,0.0965,18.700001,1.852,127.561943,Open,node_0013,node_2393
15,link_0015,pipe,0.0965,62.130001,1.852,127.561943,Open,node_0014,node_1516
16,link_0016,pipe,0.0965,1.64,1.852,127.561943,Open,node_0015,node_0874
17,link_0017,pipe,0.1485,57.93,1.852,127.561943,Open,node_0015,node_2391
18,link_0018,pipe,0.1485,107.879997,1.852,127.561943,Open,node_0016,node_0015
19,link_0019,pipe,0.1,9.33,1.852,127.561943,Open,node_0017,node_0534
20,link_0020,pipe,0.0965,2.67,1.852,127.561943,Open,node_0018,node_0806
21,link_0021,pipe,0.0965,38.490002,1.852,127.561943,Open,node_0018,node_2398
22,link_0022,pipe,0.1,78.779999,1.852,127.561943,Open,node_0019,node_0884
23,link_0023,pipe,0.1,53.950001,1.852,127.561943,Open,node_0019,node_2402
24,link_0024,pipe,0.15,40.080002,1.852,127.561943,Open,node_0020,node_0888
25,link_0025,pipe,0.15,43.16,1.852,127.561943,Open,node_0021,node_2015
26,link_0026,pipe,0.1,56.560001,1.852,127.561943,Open,node_0022,node_0890
27,link_0027,pipe,0.178,3.38,1.852,96.16616,Open,node_0023,node_0895
28,link_0028,pipe,0.101599998,2.59,1.852,96.16616,Open,node_0023,node_0901
29,link_0029,pipe,0.101599998,8.21,1.852,96.16616,Open,node_0024,node_0025
30,link_0030,pipe,0.178,1.62,1.852,96.16616,Open,node_0026,node_0027
31,link_0031,pipe,0.076599998,1.52,1.852,116.3672,Open,node_0026,node_2415
32,link_0032,pipe,0.178,2.03,1.852,96.16616,Open,node_0027,node_0300
33,link_0033,pipe,0.178,5.75,1.852,96.16616,Open,node_0028,node_0904
34,link_0034,pipe,0.254,1.92,1.852,81.01538,Open,node_0029,node_0920
35,link_0035,pipe,0.254,520.969971,1.852,81.01538,Open,node_0030,node_0033
36,link_0036,pipe,0.2,1.71,1.852,127.561943,Open,node_0031,node_0932
37,link_0037,pipe,0.254,23.52,1.852,127.561943,Open,node_0032,node_0033
38,link_0038,pipe,0.076599998,3.43,1.852,55.090712,Open,node_0034,node_1106
39,link_0039,pipe,0.101599998,89.949997,1.852,55.090712,Open,node_0035,node_0036
40,link_0040,pipe,0.101599998,4.09,1.852,55.090712,Open,node_0036,node_0176
41,link_0041,pipe,0.076599998,3.76,1.852,55.090712,Open,node_0036,node_1261
42,link_0042,pipe,0.076599998,5.65,1.852,107.192561,Open,node_0037,node_0040
43,link_0043,pipe,0.203,8.4,1.852,107.192561,Open,node_0038,node_0039
44,link_0044,pipe,0.203,66.650002,1.852,107.192561,Open,node_0038,node_2426
45,link_0045,pipe,0.203,12.77,1.852,107.192561,Open,node_0039,node_0235
46,link_0046,pipe,0.101599998,1.56,1.852,55.090712,Open,node_0041,node_0598
47,link_0047,pipe,0.050799999,1.06,1.852,55.090712,Open,node_0041,node_2428
48,link_0048,pipe,0.178,20.67,1.852,107.192561,Open,node_0042,node_0315
49,link_0049,pipe,0.178,4.09,1.852,107.192561,Open,node_0042,node_0946
50,link_0050,pipe,0.101599998,6.26,1.852,107.192561,Open,node_0043,node_0044
51,link_0051,pipe,0.101599998,57.889999,1.852,107.192561,Open,node_0043,node_2455
52,link_0052,pipe,0.050799999,1.87,1.852,107.192561,Open,node_0044,node_2430
53,link_0053,pipe,0.101599998,58.049999,1.852,107.192561,Open,node_0045,node_0229
54,link_0054,pipe,0.076599998,2.09,1.852,107.192561,Open,node_0047,node_2454
55,link_0055,pipe,0.076599998,62.779999,1.852,120.491579,Open,node_0048,node_2198
56,link_0056,pipe,0.076599998,25.07,1.852,107.192561,Open,node_0049,node_0204
57,link_0057,pipe,0.076599998,9.04,1.852,107.192561,Open,node_0050,node_0051
58,link_0058,pipe,0.076599998,10.59,1.852,107.192561,Open,node_0051,node_0976
59,link_0059,pipe,0.101599998,10.96,1.852,107.192561,Open,node_0052,node_0970
60,link_0060,pipe,0.076599998,4.55,1.852,107.192561,Open,node_0052,node_2448
61,link_0061,pipe,0.076599998,2.08,1.852,107.192561,Open,node_0053,node_0052
62,link_0062,pipe,0.076599998,59.740002,1.852,107.192561,Open,node_0053,node_0614
63,link_0063,pipe,0.101599998,52.369999,1.852,107.192561,Open,node_0054,node_0956
64,link_0064,pipe,0.076599998,71.669998,1.852,86.430381,Open,node_0054,node_2460
65,link_0065,pipe,0.076599998,84.769997,1.852,126.860518,Open,node_0055,node_2466
66,link_0066,pipe,0.079199997,37.869999,1.852,127.561943,Open,node_0056,node_2185
67,link_0067,pipe,0.076599998,77.529999,1.852,126.860518,Open,node_0057,node_0058
68,link_0068,pipe,0.076599998,1.82,1.852,126.860518,Open,node_0058,node_1498
69,link_0069,pipe,0.144800003,26.4,1.852,127.169145,Open,node_0059,node_0508
70,link_0070,pipe,0.076599998,18.799999,1.852,126.860518,Open,node_0060,node_2469
71,link_0071,pipe,0.127199997,41.98,1.852,126.860518,Open,node_0061,node_0650
72,link_0072,pipe,0.050799999,4.2,1.852,121.9786,Open,node_0063,node_1010
73,link_0073,pipe,0.101599998,3.6,1.852,80.847038,Open,node_0064,node_1014
74,link_0074,pipe,0.101599998,3.96,1.852,80.847038,Open,node_0065,node_0066
75,link_0075,pipe,0.078699997,0.48,1.852,126.972746,Open,node_0065,node_1856
76,link_0076,pipe,0.101599998,43.549999,1.852,80.847038,Open,node_0066,node_0067
77,link_0077,pipe,0.101599998,6.36,1.852,80.847038,Open,node_0067,node_0068
78,link_0078,pipe,0.101599998,3.55,1.852,80.847038,Open,node_0067,node_1026
79,link_0079,pipe,0.101599998,3.26,1.852,80.847038,Open,node_0068,node_0069
80,link_0080,pipe,0.076599998,5.88,1.852,80.847038,Open,node_0068,node_1028
81,link_0081,pipe,0.101599998,34.610001,1.852,125.654067,Open,node_0069,node_0070
82,link_0082,pipe,0.1,0.7,1.852,127.561943,Open,node_0069,node_1022
83,link_0083,pipe,0.101599998,3.04,1.852,125.654067,Open,node_0070,node_0071
84,link_0084,pipe,0.101599998,89.110001,1.852,125.654067,Open,node_0070,node_2373
85,link_0085,pipe,0.178,11.28,1.852,80.847038,Open,node_0072,node_1398
