index,node_id,node_type,elev,xcoord,ycoord
1,node_0001,junction,27.965236,362017.8,176267.7
2,node_0002,junction,48.2573,362386.3,175503.8
3,node_0003,junction,51.559723,362329.7,176010.5
4,node_0004,junction,44.545853,362116.2,176116.21
5,node_0005,junction,39.001898,362144.12,176246.35
6,node_0006,junction,39.51,362014.07,176081.35
7,node_0007,junction,42.604299,362201.3,176224.0
8,node_0008,junction,47.437245,362303.68,176167.75
9,node_0009,junction,18.407785,362109.0,176483.81
10,node_0010,junction,15.444212,362144.57,176492.21
11,node_0011,junction,54.171954,362557.9,176092.9
12,node_0012,junction,46.613206,362290.5,176183.3
13,node_0013,junction,52.07827,362364.3,176064.6
14,node_0014,junction,46.822226,362240.9,176140.0
15,node_0015,junction,51.305197,362326.4,176047.6
16,node_0016,junction,49.205102,362219.1,176053.3
17,node_0017,junction,49.954792,362212.3,176023.1
18,node_0018,junction,51.242215,362293.79,175993.6
19,node_0019,junction,41.229555,362347.77,176730.74
20,node_0020,junction,42.638169,362419.0,176741.2
21,node_0021,junction,42.30857,362441.2,176774.5
22,node_0022,junction,41.51386,362492.85,176795.44
23,node_0023,junction,24.862866,362117.29,176659.32
24,node_0024,junction,15.624059,362141.52,176503.7
25,node_0025,junction,15.491523,362141.14,176495.52
26,node_0026,junction,24.845056,362127.31,176656.63
27,node_0027,junction,24.852542,362128.77,176657.34
28,node_0028,junction,39.986989,362404.4,176832.6
29,node_0029,junction,65.652533,362320.8,178018.7
30,node_0030,junction,65.370665,362285.94,178050.8
31,node_0031,junction,66.080524,362357.5,178040.5
32,node_0032,junction,60.209334,362321.94,178562.14
33,node_0033,junction,60.479176,362304.36,178546.52
34,node_0034,junction,66.131125,363052.08,175336.91
35,node_0035,junction,75.88879,363479.4,175059.4
36,node_0036,junction,77.055856,363554.74,175010.26
37,node_0037,junction,60.498025,362918.11,175418.5
38,node_0038,junction,62.161263,362929.03,175414.86
39,node_0039,junction,61.339364,362923.91,175408.18
40,node_0040,junction,60.495963,362916.31,175414.12
41,node_0041,junction,62.888644,362944.68,175408.35
42,node_0042,junction,57.146566,362798.3,175495.4
43,node_0043,junction,58.227954,362828.37,175474.37
44,node_0044,junction,58.602572,362831.78,175479.63
45,node_0045,junction,53.597238,362520.4,175457.1
46,node_0046,junction,58.270687,362803.73,175401.72
47,node_0047,junction,57.610183,362768.15,175371.35
48,node_0048,junction,61.61,362701.2,175115.0
49,node_0049,junction,62.871838,362841.5,174977.3
50,node_0050,junction,64.68317,362823.47,175024.97
51,node_0051,junction,64.397147,362815.53,175020.64
52,node_0052,junction,64.876175,362906.8,175072.1
53,node_0053,junction,64.850954,362908.5,175073.3
54,node_0054,junction,52.98,362558.28,175498.32
