index,link_id,link_type,diameter,length,n_exp,C,status,node_out,node_in
1,p1,pipe,0.2,26.9292,1.852,140.0,Open,n62,n61
2,p2,pipe,0.15,14.3481,1.852,120.0,Open,n66,n64
3,p3,pipe,0.2,50.1267,1.852,140.0,Open,n86,n90
4,p4,pipe,0.1,29.2259,1.852,120.0,Open,n71,n70
5,p5,pipe,0.1,23.7879,1.852,140.0,Open,n3,n2
6,p6,pipe,0.1,31.2114,1.852,140.0,Open,n12,n14
7,p7,pipe,0.1,43.3995,1.852,140.0,Open,n6,n9
8,p8,pipe,0.1,53.0045,1.852,140.0,Open,n22,n30
9,p9,pipe,0.15,53.1261,1.852,120.0,Open,n67,n66
10,p10,pipe,0.1,62.6501,1.852,140.0,Open,n46,n48
11,p11,pipe,0.1,68.3713,1.852,140.0,Open,n7,n10
12,p12,pipe,0.1,70.3494,1.852,140.0,Open,n9,n4
13,p13,pipe,0.1,49.4422,1.852,140.0,Open,n31,n27
14,p14,pipe,0.1,34.2032,1.852,140.0,Open,n14,n16
15,p15,pipe,0.1,72.2253,1.852,140.0,Open,n15,n16
16,p16,pipe,0.1,50.1237,1.852,140.0,Open,n16,n18
17,p17,pipe,0.1,54.2489,1.852,140.0,Open,n18,n20
18,p18,pipe,0.1,65.191,1.852,140.0,Open,n18,n24
19,p19,pipe,0.1,56.4633,1.852,140.0,Open,n21,n25
20,p20,pipe,0.1,29.6436,1.852,140.0,Open,n26,n28
21,p21,pipe,0.1,47.7731,1.852,140.0,Open,n27,n34
22,p22,pipe,0.1,43.8692,1.852,140.0,Open,n28,n33
23,p23,pipe,0.1,18.6286,1.852,140.0,Open,n29,n32
24,p24,pipe,0.1,50.1077,1.852,140.0,Open,n32,n36
25,p25,pipe,0.1,72.5123,1.852,140.0,Open,n33,n35
26,p26,pipe,0.1,60.0953,1.852,140.0,Open,n34,n37
27,p27,pipe,0.1,38.7224,1.852,140.0,Open,n35,n38
28,p28,pipe,0.1,42.5986,1.852,140.0,Open,n36,n41
29,p29,pipe,0.1,63.0851,1.852,140.0,Open,n37,n45
30,p30,pipe,0.1,49.6992,1.852,140.0,Open,n37,n39
31,p31,pipe,0.1,48.2914,1.852,140.0,Open,n40,n42
32,p32,pipe,0.1,41.6678,1.852,140.0,Open,n42,n43
33,p33,pipe,0.1,40.4763,1.852,140.0,Open,n43,n45
34,p34,pipe,0.1,59.8532,1.852,140.0,Open,n50,n55
35,p35,pipe,0.1,43.4704,1.852,120.0,Open,n51,n53
36,p36,pipe,0.15,54.7204,1.852,120.0,Open,n52,n56
37,p37,pipe,0.1,70.2049,1.852,120.0,Open,n54,n57
38,p38,pipe,0.1,9.2891,1.852,140.0,Open,n60,n61
39,p39,pipe,0.2,36.1551,1.852,140.0,Open,n61,n65
40,p40,pipe,0.15,38.8374,1.852,120.0,Open,n62,n64
41,p41,pipe,0.1,31.0239,1.852,140.0,Open,n63,n65
42,p42,pipe,0.1,21.0441,1.852,120.0,Open,n72,n73
43,p43,pipe,0.1,23.5016,1.852,120.0,Open,n73,n74
44,p44,pipe,0.1,67.8761,1.852,120.0,Open,n74,n76
45,p45,pipe,0.1,70.0781,1.852,120.0,Open,n76,n78
46,p46,pipe,0.1,25.3446,1.852,120.0,Open,n77,n79
47,p47,pipe,0.1,47.5553,1.852,120.0,Open,n78,n80
48,p48,pipe,0.1,53.1109,1.852,120.0,Open,n79,n81
49,p49,pipe,0.2,24.2068,1.852,140.0,Open,n85,n86
50,p50,pipe,0.1,50.8867,1.852,120.0,Open,n89,n91
51,p51,pipe,0.1,24.2356,1.852,120.0,Open,n91,n92
52,p52,pipe,0.1,47.5179,1.852,120.0,Open,n91,n88
53,p53,pipe,0.1,27.4204,1.852,140.0,Open,n238,n235
54,p54,pipe,0.1,12.2248,1.852,140.0,Open,n278,n279
55,p55,pipe,0.1,33.1081,1.852,140.0,Open,n267,n269
56,p56,pipe,0.1,12.2948,1.852,140.0,Open,n310,n312
57,p57,pipe,0.15,51.5234,1.852,140.0,Open,n218,n219
58,p58,pipe,0.1,16.8101,1.852,140.0,Open,n277,n278
59,p59,pipe,0.1,57.0476,1.852,140.0,Open,n268,n273
60,p60,pipe,0.1,19.5812,1.852,140.0,Open,n309,n308
61,p61,pipe,0.1,54.3635,1.852,140.0,Open,n280,n286
62,p62,pipe,0.1,37.5392,1.852,140.0,Open,n275,n280
63,p63,pipe,0.1,65.7292,1.852,140.0,Open,n280,n283
64,p64,pipe,0.1,6.6814,1.852,140.0,Open,n293,n294
65,p65,pipe,0.1,30.0446,1.852,120.0,Open,n287,n291
66,p66,pipe,0.1,42.5781,1.852,140.0,Open,n245,n240
67,p67,pipe,0.1,5.017,1.852,140.0,Open,n250,n249
68,p68,pipe,0.1,10.1846,1.852,140.0,Open,n258,n259
69,p69,pipe,0.1,22.3779,1.852,140.0,Open,n314,n316
70,p70,pipe,0.1,47.7865,1.852,140.0,Open,n302,n297
71,p71,pipe,0.1,22.9926,1.852,140.0,Open,n328,n327
72,p72,pipe,0.15,43.0228,1.852,120.0,Open,n242,n246
73,p73,pipe,0.15,42.5596,1.852,120.0,Open,n236,n242
74,p74,pipe,0.15,57.4031,1.852,120.0,Open,n233,n236
75,p75,pipe,0.15,22.0221,1.852,120.0,Open,n231,n233
76,p76,pipe,0.15,38.0635,1.852,120.0,Open,n227,n231
77,p77,pipe,0.063,5.4292,1.852,140.0,Open,n302,n301
78,p78,pipe,0.063,9.2131,1.852,120.0,Open,n254,n253
79,p79,pipe,0.15,4.5125,1.852,140.0,Open,n222,n221
80,p80,pipe,0.1,55.3305,1.852,140.0,Open,n235,n239
81,p81,pipe,0.075,60.0801,1.852,140.0,Open,n126,n121
82,p82,pipe,0.1,15.9998,1.852,140.0,Open,n121,n118
83,p83,pipe,0.1,13.3385,1.852,140.0,Open,n177,n175
84,p84,pipe,0.1,22.9046,1.852,140.0,Open,n162,n159
85,p85,pipe,0.1,16.4364,1.852,140.0,Open,n193,n190
86,p86,pipe,0.063,23.6026,1.852,120.0,Open,n150,n153
87,p87,pipe,0.15,38.8514,1.852,140.0,Open,n156,n157
88,p88,pipe,0.15,22.9683,1.852,140.0,Open,n168,n171
89,p89,pipe,0.15,65.8594,1.852,140.0,Open,n141,n133
90,p90,pipe,0.15,18.0551,1.852,140.0,Open,n122,n120
91,p91,pipe,0.15,5.3428,1.852,140.0,Open,n145,n146
92,p92,pipe,0.16,7.0501,1.852,140.0,Open,n109,n107
93,p93,pipe,0.16,19.7515,1.852,140.0,Open,n189,n188
94,p94,pipe,0.1,19.3019,1.852,140.0,Open,n194,n193
95,p95,pipe,0.1,51.7831,1.852,140.0,Open,n94,n97
96,p96,pipe,0.1,63.2939,1.852,140.0,Open,n96,n99
97,p97,pipe,0.1,66.9802,1.852,140.0,Open,n99,n102
98,p98,pipe,0.1,22.7331,1.852,140.0,Open,n101,n103
99,p99,pipe,0.1,60.7132,1.852,140.0,Open,n102,n106
100,p100,pipe,0.1,39.3009,1.852,140.0,Open,n102,n107
101,p101,pipe,0.16,51.6094,1.852,140.0,Open,n103,n107
102,p102,pipe,0.1,69.3344,1.852,140.0,Open,n104,n114
103,p103,pipe,0.1,47.1926,1.852,140.0,Open,n104,n108
104,p104,pipe,0.15,52.1526,1.852,140.0,Open,n105,n113
105,p105,pipe,0.1,50.1743,1.852,140.0,Open,n110,n115
106,p106,pipe,0.1,20.2696,1.852,140.0,Open,n110,n112
107,p107,pipe,0.15,39.6039,1.852,140.0,Open,n113,n120
108,p108,pipe,0.1,17.9183,1.852,140.0,Open,n114,n116
109,p109,pipe,0.1,25.9671,1.852,140.0,Open,n114,n119
110,p110,pipe,0.2,69.0704,1.852,140.0,Open,n115,n111
111,p111,pipe,0.1,67.3462,1.852,140.0,Open,n116,n125
112,p112,pipe,0.063,42.3661,1.852,140.0,Open,n127,n131
113,p113,pipe,0.15,59.1164,1.852,140.0,Open,n134,n137
114,p114,pipe,0.1,73.5155,1.852,140.0,Open,n136,n147
115,p115,pipe,0.1,59.6311,1.852,140.0,Open,n138,n143
116,p116,pipe,0.1,35.1911,1.852,140.0,Open,n139,n135
117,p117,pipe,0.1,60.9268,1.852,140.0,Open,n140,n144
118,p118,pipe,0.15,65.2915,1.852,140.0,Open,n141,n145
119,p119,pipe,0.1,58.0354,1.852,140.0,Open,n144,n155
