index,link_id,link_type,diameter,length,n_exp,C,status,node_out,node_in
1,10,pipe,0.4572,3209.5440000000003,1.852,100.0,Open,10,11
2,11,pipe,0.35559999999999997,1609.344,1.852,100.0,Open,11,12
3,12,pipe,0.254,1609.344,1.852,100.0,Open,12,13
4,21,pipe,0.254,1609.344,1.852,100.0,Open,21,22
5,22,pipe,0.30479999999999996,1609.344,1.852,100.0,Open,22,23
6,31,pipe,0.15239999999999998,1609.344,1.852,100.0,Open,31,32
7,111,pipe,0.254,1609.344,1.852,100.0,Open,11,21
8,112,pipe,0.30479999999999996,1609.344,1.852,100.0,Open,12,22
9,113,pipe,0.2032,1609.344,1.852,100.0,Open,13,23
10,121,pipe,0.2032,1609.344,1.852,100.0,Open,21,31
11,122,pipe,0.15239999999999998,1609.344,1.852,100.0,Open,22,32
12,9,pump,1,0.0001,2,0.0001,Open,9,10
