node_id,demand_1,demand_2,demand_3,demand_4,demand_5,demand_6,demand_7,demand_8,demand_9,demand_10,demand_11,demand_12,demand_13,demand_14,demand_15,demand_16,demand_17,demand_18,demand_19,demand_20,demand_21,demand_22,demand_23,demand_24
1,0.0030500002,0.0030500002,0.00205,0.00205,0.00205,0.00205,0.0040500006,0.0040500006,0.0061500003,0.0061500003,0.00565,0.00565,0.0046,0.0046,0.0046,0.0046,0.0051500006,0.0051500006,0.0046,0.0046,0.0041,0.0030500002,0.0030500002,0.0030500002
2,0.0061000003,0.0061000003,0.0041,0.0041,0.0041,0.0041,0.008100001,0.008100001,0.0123000005,0.0123000005,0.0113,0.0113,0.0092,0.0092,0.0092,0.0092,0.010300001,0.010300001,0.0092,0.0092,0.0082,0.0061000003,0.0061000003,0.0061000003
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0030500002,0.0030500002,0.00205,0.00205,0.00205,0.00205,0.0040500006,0.0040500006,0.0061500003,0.0061500003,0.00565,0.00565,0.0046,0.0046,0.0046,0.0046,0.0051500006,0.0051500006,0.0046,0.0046,0.0041,0.0030500002,0.0030500002,0.0030500002
5,0.0183,0.0183,0.0123000005,0.0123000005,0.0123000005,0.0123000005,0.024300002,0.024300002,0.036900003,0.036900003,0.033900004,0.033900004,0.027600002,0.027600002,0.027600002,0.027600002,0.030900002,0.030900002,0.027600002,0.027600002,0.024600001,0.0183,0.0183,0.0183
6,0.0061000003,0.0061000003,0.0041,0.0041,0.0041,0.0041,0.008100001,0.008100001,0.0123000005,0.0123000005,0.0113,0.0113,0.0092,0.0092,0.0092,0.0092,0.010300001,0.010300001,0.0092,0.0092,0.0082,0.0061000003,0.0061000003,0.0061000003
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.012200001,0.012200001,0.0082,0.0082,0.0082,0.0082,0.016200002,0.016200002,0.024600001,0.024600001,0.0226,0.0226,0.0184,0.0184,0.0184,0.0184,0.020600002,0.020600002,0.0184,0.0184,0.0164,0.012200001,0.012200001,0.012200001
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0030500002,0.0030500002,0.00205,0.00205,0.00205,0.00205,0.0040500006,0.0040500006,0.0061500003,0.0061500003,0.00565,0.00565,0.0046,0.0046,0.0046,0.0046,0.0051500006,0.0051500006,0.0046,0.0046,0.0041,0.0030500002,0.0030500002,0.0030500002
11,0.0061000003,0.0061000003,0.0041,0.0041,0.0041,0.0041,0.008100001,0.008100001,0.0123000005,0.0123000005,0.0113,0.0113,0.0092,0.0092,0.0092,0.0092,0.010300001,0.010300001,0.0092,0.0092,0.0082,0.0061000003,0.0061000003,0.0061000003
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0030500002,0.0030500002,0.00205,0.00205,0.00205,0.00205,0.0040500006,0.0040500006,0.0061500003,0.0061500003,0.00565,0.00565,0.0046,0.0046,0.0046,0.0046,0.0051500006,0.0051500006,0.0046,0.0046,0.0041,0.0030500002,0.0030500002,0.0030500002
15,0.012200001,0.012200001,0.0082,0.0082,0.0082,0.0082,0.016200002,0.016200002,0.024600001,0.024600001,0.0226,0.0226,0.0184,0.0184,0.0184,0.0184,0.020600002,0.020600002,0.0184,0.0184,0.0164,0.012200001,0.012200001,0.012200001
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0030500002,0.0030500002,0.00205,0.00205,0.00205,0.00205,0.0040500006,0.0040500006,0.0061500003,0.0061500003,0.00565,0.00565,0.0046,0.0046,0.0046,0.0046,0.0051500006,0.0051500006,0.0046,0.0046,0.0041,0.0030500002,0.0030500002,0.0030500002
19,0.0030500002,0.0030500002,0.00205,0.00205,0.00205,0.00205,0.0040500006,0.0040500006,0.0061500003,0.0061500003,0.00565,0.00565,0.0046,0.0046,0.0046,0.0046,0.0051500006,0.0051500006,0.0046,0.0046,0.0041,0.0030500002,0.0030500002,0.0030500002
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0030500002,0.0030500002,0.00205,0.00205,0.00205,0.00205,0.0040500006,0.0040500006,0.0061500003,0.0061500003,0.00565,0.00565,0.0046,0.0046,0.0046,0.0046,0.0051500006,0.0051500006,0.0046,0.0046,0.0041,0.0030500002,0.0030500002,0.0030500002
