index,node_id,node_type,elev,xcoord,ycoord
1,10,junction,44.805600000000005,9.0,27.85
2,15,junction,9.7536,38.68,23.76
3,20,junction,39.3192,29.44,26.91
4,35,junction,3.81,25.46,10.52
5,40,junction,40.203120000000006,27.02,9.81
6,50,junction,35.5092,33.01,3.01
7,61,junction,0.0,23.71,29.03
8,101,junction,12.8016,13.81,22.94
9,103,junction,13.1064,12.96,21.31
10,105,junction,8.6868,16.97,21.28
11,107,junction,6.7056000000000004,18.45,20.46
12,109,junction,6.1874400000000005,17.64,18.92
13,111,junction,3.048,20.21,17.53
14,113,junction,0.6096,22.04,16.61
15,115,junction,4.2672,20.98,19.18
16,117,junction,4.1452800000000005,21.69,21.28
17,119,junction,0.6096,23.7,22.76
18,120,junction,0.0,22.08,23.1
19,121,junction,-0.6096,23.54,25.5
20,123,junction,3.3528000000000002,23.37,27.31
21,125,junction,3.3528000000000002,24.59,25.64
22,127,junction,17.0688,29.29,26.4
23,129,junction,15.5448,30.32,26.39
24,131,junction,1.8288000000000002,37.89,29.55
25,139,junction,9.4488,33.28,24.54
26,141,junction,1.2192,35.68,23.08
27,143,junction,-1.3716000000000002,37.47,21.97
28,145,junction,0.3048,33.02,19.29
29,147,junction,5.638800000000001,30.24,20.38
30,149,junction,4.8768,29.62,20.74
31,151,junction,10.2108,28.29,21.39
32,153,junction,20.177760000000003,28.13,22.63
33,157,junction,3.99288,24.85,20.16
34,159,junction,1.8288000000000002,23.12,17.5
35,161,junction,1.2192,25.1,15.28
36,163,junction,1.524,25.39,14.98
37,164,junction,1.524,25.98,15.14
38,166,junction,-0.6096,26.48,15.13
39,167,junction,-1.524,25.88,12.98
40,169,junction,-1.524,25.68,12.74
41,171,junction,-1.2192,26.65,11.8
42,173,junction,-1.2192,26.87,11.59
43,177,junction,2.4384,25.71,10.57
44,179,junction,2.4384,25.71,10.4
45,181,junction,2.4384,25.72,10.74
46,183,junction,3.3528000000000002,25.45,10.18
47,184,junction,4.8768,25.15,9.52
48,185,junction,4.8768,25.01,9.67
49,187,junction,3.81,23.64,11.04
50,189,junction,1.2192,24.15,11.37
51,191,junction,7.62,22.1,14.07
52,193,junction,5.486400000000001,22.88,14.35
53,195,junction,4.7244,23.18,14.72
54,197,junction,7.010400000000001,20.97,15.18
55,199,junction,-0.6096,29.42,8.44
56,201,junction,0.030480000000000004,30.89,8.57
57,203,junction,0.6096,31.14,8.89
58,204,junction,6.4008,23.8,10.9
59,205,junction,6.4008,29.2,6.46
60,206,junction,0.3048,31.66,6.64
61,207,junction,2.7432000000000003,31.0,6.61
62,208,junction,4.8768,32.54,6.81
63,209,junction,-0.6096,33.76,6.59
64,211,junction,2.1336,34.2,5.54
65,213,junction,2.1336,35.26,6.16
66,215,junction,2.1336,39.95,8.73
67,217,junction,1.8288000000000002,42.11,8.67
68,219,junction,1.2192,44.86,9.32
69,225,junction,2.4384,43.53,7.38
70,229,junction,3.2004,36.16,3.49
71,231,junction,1.524,38.38,2.54
72,237,junction,4.2672,35.37,3.08
73,239,junction,3.9624,35.76,2.31
74,241,junction,3.9624,35.87,2.11
75,243,junction,4.2672,37.04,0.0
76,247,junction,5.486400000000001,35.02,2.05
77,249,junction,5.486400000000001,35.02,1.81
78,251,junction,9.144,34.15,1.1
79,253,junction,10.972800000000001,32.17,1.89
80,255,junction,8.2296,33.51,2.45
81,257,junction,5.1816,21.17,23.32
82,259,junction,7.62,20.8,23.4
83,261,junction,0.0,20.79,21.45
84,263,junction,0.0,20.32,21.57
85,265,junction,0.0,25.39,13.6
86,267,junction,6.4008,23.38,12.95
87,269,junction,0.0,25.03,12.14
88,271,junction,1.8288000000000002,25.97,11.0
89,273,junction,2.4384,29.16,7.38
90,275,junction,3.048,31.07,8.29
91,4,reservoir,0,24.15,31.06
92,5,reservoir,0,8.0,27.53
93,1,tank,40.203120000000006,27.46,9.84
94,2,tank,35.5092,32.99,3.45
95,3,tank,39.3192,29.41,27.27
