index,link_id,link_type,diameter,length,n_exp,C,status,node_out,node_in
1,1,pipe,0.125,46.84,1.852,98.0,Open,1,16
2,2,pipe,0.1,267.68,1.852,115.0,Open,16,2
3,3,pipe,0.1,541.07,1.852,62.0,Open,2,3
4,4,pipe,0.1,542.29,1.852,102.0,Open,3,4
5,5,pipe,0.1,404.72,1.852,95.0,Open,4,5
6,6,pipe,0.1,151.67,1.852,74.0,Open,5,206
7,7,pipe,0.1,341.57,1.852,85.0,Open,206,6
8,8,pipe,0.1,39.91,1.852,95.0,Open,1,140
9,9,pipe,0.1,269.73,1.852,138.0,Open,140,143
10,10,pipe,0.1,45.92,1.852,127.0,Open,143,145
11,11,pipe,0.1,890.09,1.852,73.0,Open,145,146
12,12,pipe,0.1,33.79,1.852,130.0,Open,146,148
13,13,pipe,0.1,6.03,1.852,100.0,Open,148,63
14,14,pipe,0.125,367.92,1.852,90.0,Open,63,149
15,15,pipe,0.125,97.66,1.852,100.0,Open,149,150
16,16,pipe,0.1,322.19,1.852,88.0,Open,150,60
17,17,pipe,0.1,359.48,1.852,89.0,Open,60,61
18,18,pipe,0.1,199.59,1.852,110.0,Open,61,218
19,19,pipe,0.2,57.06,1.852,109.0,Open,1,141
20,20,pipe,0.2,223.41,1.852,109.0,Open,141,142
21,21,pipe,0.2,47.03,1.852,100.0,Open,142,144
22,22,pipe,0.2,782.67,1.852,75.0,Open,144,257
23,23,pipe,0.125,231.87,1.852,100.0,Open,257,53
24,24,pipe,0.1,279.84,1.852,112.0,Open,53,251
25,25,pipe,0.1,145.7,1.852,97.0,Open,251,57
26,26,pipe,0.1,81.1,1.852,104.0,Open,57,58
27,27,pipe,0.1,550.17,1.852,100.0,Open,58,59
28,28,pipe,0.1,155.63,1.852,87.0,Open,53,230
29,29,pipe,0.1,357.81,1.852,95.0,Open,230,252
30,30,pipe,0.1,267.32,1.852,81.0,Open,252,3
31,31,pipe,0.1,612.5,1.852,103.0,Open,3,13
32,32,pipe,0.1,160.5,1.852,76.0,Open,13,12
33,33,pipe,0.1,531.71,1.852,77.0,Open,12,11
34,34,pipe,0.2,41.91,1.852,80.0,Open,1,258
35,35,pipe,0.2,95.22,1.852,53.0,Open,258,259
36,36,pipe,0.2,25.13,1.852,110.0,Open,259,260
37,37,pipe,0.2,158.12,1.852,95.0,Open,260,215
38,38,pipe,0.2,95.4,1.852,81.0,Open,215,261
39,39,pipe,0.2,52.92,1.852,109.0,Open,261,77
40,40,pipe,0.2,44.92,1.852,69.0,Open,77,262
41,41,pipe,0.2,127.05,1.852,90.0,Open,262,216
42,42,pipe,0.2,56.68,1.852,88.0,Open,216,263
43,43,pipe,0.2,181.29,1.852,95.0,Open,263,76
44,44,pipe,0.2,220.9,1.852,95.0,Open,76,217
45,45,pipe,0.2,67.65,1.852,80.0,Open,217,75
46,46,pipe,0.2,36.06,1.852,91.0,Open,75,74
47,47,pipe,0.15,242.29,1.852,89.0,Open,74,73
48,48,pipe,0.15,70.45,1.852,99.0,Open,73,72
49,49,pipe,0.15,112.83,1.852,105.0,Open,72,71
50,50,pipe,0.15,105.72,1.852,105.0,Open,71,70
51,51,pipe,0.15,199.42,1.852,80.0,Open,70,69
52,52,pipe,0.125,180.64,1.852,92.0,Open,69,68
53,53,pipe,0.125,288.76,1.852,75.0,Open,68,78
54,54,pipe,0.1,69.26,1.852,77.0,Open,78,154
55,55,pipe,0.1,718.45,1.852,91.0,Open,154,79
56,56,pipe,0.1,390.78,1.852,111.0,Open,79,155
57,57,pipe,0.125,24.0,1.852,81.0,Open,155,156
58,58,pipe,0.125,504.52,1.852,96.0,Open,156,95
59,59,pipe,0.15,41.78,1.852,88.0,Open,95,96
60,60,pipe,0.15,367.93,1.852,106.0,Open,96,97
61,61,pipe,0.15,101.86,1.852,77.0,Open,97,157
62,62,pipe,0.15,125.36,1.852,91.0,Open,157,98
63,63,pipe,0.15,699.76,1.852,98.0,Open,98,158
64,64,pipe,0.2,448.05,1.852,105.0,Open,158,136
65,65,pipe,0.2,114.29,1.852,111.0,Open,136,159
66,66,pipe,0.2,197.3,1.852,92.0,Open,159,160
67,67,pipe,0.2,235.98,1.852,72.0,Open,160,137
68,68,pipe,0.2,224.87,1.852,81.0,Open,137,135
69,69,pipe,0.125,176.73,1.852,77.0,Open,135,222
