index,node_id,node_type,elev,xcoord,ycoord
1,1,junction,39.49,1650094.63,4944639.0
2,2,junction,39.62,1650348.88,4944585.0
3,3,junction,38.7,1650592.63,4945068.0
4,4,junction,37.25,1650829.5,4945554.0
5,5,junction,36.27,1651029.88,4945905.5
6,6,junction,35.95,1651232.38,4946354.5
7,7,junction,35.95,1651227.63,4946378.0
8,8,junction,36.09,1650986.0,4946490.5
9,9,junction,36.18,1650757.0,4946024.5
10,10,junction,37.0,1650577.5,4945659.5
11,11,junction,36.5,1650064.5,4945875.0
12,12,junction,37.39,1649881.13,4945376.0
13,13,junction,38.07,1650029.25,4945313.5
14,14,junction,37.02,1649770.5,4945419.0
15,15,junction,41.26,1649922.38,4944957.0
16,16,junction,39.35,1650100.25,4944685.5
17,17,junction,39.53,1650073.75,4944698.0
18,18,junction,36.59,1649896.88,4946121.0
19,19,junction,36.76,1650065.0,4946470.5
20,20,junction,37.72,1649998.63,4946733.5
21,21,junction,37.31,1650051.0,4946979.0
22,22,junction,37.62,1650379.13,4946826.0
23,23,junction,36.99,1650670.25,4946655.0
24,24,junction,35.2,1651438.88,4946731.5
25,25,junction,35.11,1651852.38,4946763.0
26,26,junction,34.65,1652162.25,4946635.0
27,27,junction,34.33,1652182.25,4946677.0
28,28,junction,36.15,1651699.38,4946109.0
29,29,junction,36.3,1652135.63,4945859.5
30,30,junction,36.1,1652188.25,4945828.0
31,31,junction,36.14,1652250.75,4945788.5
32,32,junction,35.8,1652137.88,4946048.5
33,33,junction,33.26,1652747.88,4946233.5
34,34,junction,33.34,1653164.75,4946233.5
35,35,junction,33.51,1653238.38,4946135.5
36,36,junction,32.7,1652471.5,4947147.5
37,37,junction,32.65,1652974.13,4946893.0
38,38,junction,32.56,1653000.5,4947593.0
39,39,junction,33.56,1652997.88,4947950.0
40,40,junction,31.59,1653465.13,4947628.0
41,41,junction,31.38,1653953.13,4947276.5
42,42,junction,32.67,1653669.25,4946887.5
43,43,junction,33.5,1653412.88,4946500.5
44,44,junction,33.57,1653325.38,4946374.5
